"","time","lat","lon","ugrd10m","vgrd10m","dir","speed"
"401",2015-02-12,45,-10,2.44,-0.85999995,109.415464411607,2.58712193643825
"402",2015-02-12,45,-9.5,2.79,-0.5,100.160206120895,2.8344488000315
"403",2015-02-12,45,-9,2.95,-0.22,94.2650104937769,2.958192015404
"404",2015-02-12,45,-8.5,3.01,-0.35999998,96.8202540631468,3.03145179503155
"405",2015-02-12,45,-8,2.9299998,-1.09,110.405889425995,3.12617958985085
"406",2015-02-12,45,-7.5,1.99,-1.1,118.932229702688,2.27378539004894
"407",2015-02-12,45,-7,1.66,0.56,71.3582081063007,1.75191323986092
"408",2015-02-12,45,-6.5,2.6799998,2.6799998,45,3.79009206431718
"409",2015-02-12,45,-6,2.4099998,4.06,30.6931988338769,4.72140858600482
"410",2015-02-12,45,-5.5,1.6999999,4.06,22.7199960807471,4.40154514460547
"411",2015-02-12,45,-5,1.5999999,3.51,24.5054163741135,3.85747322479366
"412",2015-02-12,45,-4.5,1.7099999,3.21,28.0446855576159,3.63705920463223
"413",2015-02-12,45,-4,1.36,2.9199998,24.9739124078546,3.22117972674609
"414",2015-02-12,45,-3.5,1.04,2.55,22.1877541332719,2.75392447245744
"415",2015-02-12,45,-3,1.14,3.11,20.1308899948257,3.31235565723248
"416",2015-02-12,45,-2.5,0.65,5.0499997,7.33437923237824,5.09165954969498
"417",2015-02-12,45,-2,-0.52,6.19,355.198058997122,6.21180328085171
"418",2015-02-12,45,-1.5,-1.74,4.92,340.523424501068,5.21862050737549
"419",2015-02-12,45,-1,-1.03,2.37,336.510274900974,2.58414395883821
"420",2015-02-12,45,-0.5,-0.56,1.9799999,344.207595713334,2.05766848739052
"641",2015-02-12,45,0,-0.96999997,1.35,324.302055551018,1.66234771988294
"642",2015-02-12,45,0.5,-0.75,0.19999999,284.931416464912,0.776208732236375
"643",2015-02-12,45,1,-0.76,0.48,302.275644314578,0.898888202169769
"644",2015-02-12,45,1.5,-1.42,0.98999995,304.883555592378,1.73104012114104
"645",2015-02-12,45,2,-1.6999999,0.9,297.897272424629,1.92353831778834
"646",2015-02-12,45,2.5,-1.62,0.89,298.783632910918,1.84837766703669
"647",2015-02-12,45,3,0.17,1.81,5.36563092663983,1.81796589626978
"648",2015-02-12,45,3.5,-0.04,3.22,359.288287793964,3.22024843762092
"649",2015-02-12,45,4,-0.13,2.95,357.476733766497,2.95286301747982
"650",2015-02-12,45,4.5,1.62,1.2099999,53.2434492431442,2.02200389663324
"651",2015-02-12,45,5,0.32,0.93,18.9876240878702,0.98351410767716
"381",2015-02-12,44.5,-10,0.77,-1.06,144.004779125277,1.31015266286032
"382",2015-02-12,44.5,-9.5,1.43,0.02,89.198712669893,1.43013985330107
"383",2015-02-12,44.5,-9,2.19,0.38,80.1562766093056,2.22272355456094
"384",2015-02-12,44.5,-8.5,2.61,0.42999998,80.6445067709159,2.64518430034658
"385",2015-02-12,44.5,-8,2.82,1.12,68.3388491796534,3.03427091737043
"386",2015-02-12,44.5,-7.5,3.51,1.88,61.8259399168746,3.98177096277523
"387",2015-02-12,44.5,-7,3.3899999,2.56,52.9412743264053,4.24802298981538
"388",2015-02-12,44.5,-6.5,2.2,3.36,33.2152514937372,4.01616732719144
"389",2015-02-12,44.5,-6,0.81,3.54,12.8881851257657,3.63148729861472
"390",2015-02-12,44.5,-5.5,0.42,3.27,7.31901937559043,3.2968621445247
"391",2015-02-12,44.5,-5,0.61,3.1899998,10.8255600667606,3.24779905843943
"392",2015-02-12,44.5,-4.5,0.68,3.07,12.4892797543926,3.14440773437543
"393",2015-02-12,44.5,-4,0.53,2.49,12.0161620926832,2.54578082324461
"394",2015-02-12,44.5,-3.5,0.69,1.79,21.0803970799225,1.91838473722035
"395",2015-02-12,44.5,-3,1.12,2.87,21.3179122754616,3.08079535185315
"396",2015-02-12,44.5,-2.5,0.53999996,5.6,5.5079201443195,5.62597546713457
"397",2015-02-12,44.5,-2,-1.1899999,6.85,350.144783933327,6.95259662011252
"398",2015-02-12,44.5,-1.5,-2.6799998,5.12,332.370755087316,5.77899635992272
"399",2015-02-12,44.5,-1,-1.24,1.61,322.397027069501,2.03216633177503
"400",2015-02-12,44.5,-0.5,-0.72999996,1.61,335.609694118284,1.76776693644835
"630",2015-02-12,44.5,0,-0.95,1.42,326.216919926647,1.70847885559055
"631",2015-02-12,44.5,0.5,-1.16,0.53,294.555497364057,1.27534309109353
"632",2015-02-12,44.5,1,-1.3,0.98999995,307.290665525177,1.63404403276044
"633",2015-02-12,44.5,1.5,-1.42,1.12,308.263988785881,1.80853531898053
"634",2015-02-12,44.5,2,-1.5,0.62,292.456938999942,1.62308348522188
"635",2015-02-12,44.5,2.5,-1.86,0.5,285.046391832199,1.92603219080056
"636",2015-02-12,44.5,3,-1.92,0.39999998,281.768288360016,1.96122410346192
"637",2015-02-12,44.5,3.5,-1.24,0.88,305.362461887069,1.52052622469986
"638",2015-02-12,44.5,4,-0.04,0.11,340.0168934781,0.117046999107196
"639",2015-02-12,44.5,4.5,0.65,-0.87,143.23561932421,1.08600184161906
"640",2015-02-12,44.5,5,-0.79999995,0.26,288.004162658549,0.84118958624082
"361",2015-02-12,44,-10,0.84,3.3999999,13.8775301955937,3.50222776529454
"362",2015-02-12,44,-9.5,2.22,4.29,27.3607747298173,4.83037265643139
"363",2015-02-12,44,-9,3.54,3.25,47.4456088328171,4.80563211242808
"364",2015-02-12,44,-8.5,3.05,1.62,62.0251041459126,3.45353442142973
"365",2015-02-12,44,-8,1.38,1.8499999,36.720950298859,2.30800771879125
"366",2015-02-12,44,-7.5,1,2.6699998,20.5325261956461,2.85112239863532
"367",2015-02-12,44,-7,0.72999996,2.87,14.2708678581605,2.96138480133873
"368",2015-02-12,44,-6.5,0.14,2.58,3.10602709561643,2.58379565755499
"369",2015-02-12,44,-6,0.17999999,2.08,4.94596627369124,2.08777393326002
"370",2015-02-12,44,-5.5,0.26999998,2.03,7.57615434101107,2.04787694679148
"371",2015-02-12,44,-5,0,2.58,0,2.58
"372",2015-02-12,44,-4.5,-0.59999996,2.57,346.858931087954,2.63910968927023
"373",2015-02-12,44,-4,-0.65,1.99,341.911245027539,2.09346602551845
"374",2015-02-12,44,-3.5,0.29999998,1.78,9.56668536372321,1.8051038718035
"375",2015-02-12,44,-3,0.84,3.1899998,14.752404297973,3.29874199112329
"376",2015-02-12,44,-2.5,-0.29999998,4.77,356.401232122479,4.77942465031095
"377",2015-02-12,44,-2,-2.9399998,5.21,330.563989506042,5.9822820749276
"378",2015-02-12,44,-1.5,-3.9199998,4.48,318.814076282983,5.95288152343048
"379",2015-02-12,44,-1,-1.48,1.76,319.939215542126,2.29956517628877
"380",2015-02-12,44,-0.5,-0.97999996,1.48,326.488982278683,1.77504927300625
"619",2015-02-12,44,0,-0.47,1.75,344.966741870612,1.81201545247274
"620",2015-02-12,44,0.5,0.48999998,0.83,30.555963251708,0.963846450634125
"621",2015-02-12,44,1,-0.84,1.12,323.130102354156,1.4
"622",2015-02-12,44,1.5,-2.21,1.15,297.490755209742,2.49130487897407
"623",2015-02-12,44,2,-1.6899999,-0.48999998,253.830968031111,1.75960212616376
"624",2015-02-12,44,2.5,-1.86,-0.03,269.075954647227,1.8602419197513
"625",2015-02-12,44,3,-1.65,0.63,290.897765498839,1.7661823235442
"626",2015-02-12,44,3.5,-0.90999997,0,270,0.90999997
"627",2015-02-12,44,4,-0.02,-0.85999995,181.332219931296,0.860232476717778
"628",2015-02-12,44,4.5,0.16,-1.26,172.763077974032,1.27011810474459
"629",2015-02-12,44,5,-0.63,-0.47,233.275892827075,0.786002544525143
"341",2015-02-12,43.5,-10,-1.5999999,6.04,345.163092124844,6.24832775068658
"342",2015-02-12,43.5,-9.5,-0.22,5.44,357.684153233323,5.44444671201767
"343",2015-02-12,43.5,-9,0.41,3.61,6.47951251573027,3.63320794890686
"344",2015-02-12,43.5,-8.5,-0.32999998,2.1299999,351.19320742396,2.15541169171924
"345",2015-02-12,43.5,-8,-0.7,0.87,321.179924249183,1.11664676599182
"346",2015-02-12,43.5,-7.5,-0.39,1.42,344.642506576502,1.47258276507638
"347",2015-02-12,43.5,-7,0.02,2.22,0.516164229764836,2.22009008826219
"348",2015-02-12,43.5,-6.5,0.39,2.09,10.5699912208271,2.12607619807005
"349",2015-02-12,43.5,-6,0.93,2.34,21.6746491190241,2.5180349481292
"350",2015-02-12,43.5,-5.5,0.48999998,2.35,11.7780243659818,2.40054160147247
"351",2015-02-12,43.5,-5,0.69,2.27,16.9074233807091,2.37255136930689
"352",2015-02-12,43.5,-4.5,0.48,2.4199998,11.2188431849284,2.46714390176172
"353",2015-02-12,43.5,-4,0.26999998,3.1699998,4.86833232147524,3.18147744313865
"354",2015-02-12,43.5,-3.5,0.7,3.02,13.0500285536668,3.1000645154577
"355",2015-02-12,43.5,-3,0.52,3.58,8.26449408465857,3.61756824400038
"356",2015-02-12,43.5,-2.5,0.35999998,4.0499997,5.07960795358926,4.06596821871496
"357",2015-02-12,43.5,-2,-1.02,3.77,344.860682175783,3.90554733680185
"358",2015-02-12,43.5,-1.5,-1.88,2.82,326.30993247402,3.38921819893615
"359",2015-02-12,43.5,-1,-1.16,1.4399999,321.146623715826,1.84910781513681
"360",2015-02-12,43.5,-0.5,-1.55,1.1,305.362461887069,1.90065778087482
"608",2015-02-12,43.5,0,-1,0.91999996,312.614054728368,1.35882299303478
"609",2015-02-12,43.5,0.5,1,0.26999998,74.890425945714,1.03580885746358
"610",2015-02-12,43.5,1,0.65,0.04,86.4785466230778,0.651229606206598
"611",2015-02-12,43.5,1.5,-1.06,1.09,315.799424113318,1.52042757144167
"612",2015-02-12,43.5,2,-1.8299999,1.4499999,308.391535262292,2.33482319330608
"613",2015-02-12,43.5,2.5,-2.34,0.19999999,274.885202325039,2.34853145518641
"614",2015-02-12,43.5,3,-0.87,-1.6999999,207.101765458521,1.90968574901736
"615",2015-02-12,43.5,3.5,-1.25,-2.22,209.38225462298,2.54772447489912
"616",2015-02-12,43.5,4,-1.43,-2.45,210.27097554929,2.8367939650246
"617",2015-02-12,43.5,4.5,-0.35999998,-2.21,189.251985718598,2.23912929184538
"618",2015-02-12,43.5,5,-0.68,-0.37,241.44860812704,0.774144689318476
"321",2015-02-12,43,-10,-4.15,6.06,325.595935929436,7.34480088225678
"322",2015-02-12,43,-9.5,-3.07,5.2599998,329.730018387641,6.09036106450184
"323",2015-02-12,43,-9,-0.84999996,1.16,323.767582530044,1.43808898612012
"324",2015-02-12,43,-8.5,-0.65999997,0.84,321.842774677837,1.06826961035125
"325",2015-02-12,43,-8,-0.84,1.05,321.34019174591,1.3446560898609
"326",2015-02-12,43,-7.5,-1.1999999,1.11,312.768827772056,1.63465585368909
"327",2015-02-12,43,-7,-1.42,1.4599999,315.795721591312,2.0366638672103
"328",2015-02-12,43,-6.5,-0.69,1.62,336.929587750175,1.7608236708995
"329",2015-02-12,43,-6,0.19999999,1.8299999,6.23708010520022,1.84089642022576
"330",2015-02-12,43,-5.5,-0.37,1.8,348.384329875534,1.83763434883004
"331",2015-02-12,43,-5,0.089999996,1.18,4.36157245192093,1.18342722601772
"332",2015-02-12,43,-4.5,0.96999997,1.4599999,33.5994107147306,1.75285471440163
"333",2015-02-12,43,-4,0.65,2.4099998,15.0940640204996,2.49611679133811
"334",2015-02-12,43,-3.5,0.94,2.03,24.8466931754225,2.23707398178961
"335",2015-02-12,43,-3,0.17999999,2.87,3.58876276152542,2.87563905878328
"336",2015-02-12,43,-2.5,-0.83,3.37,346.16395061436,3.47070598005651
"337",2015-02-12,43,-2,-0.62,3.1999998,349.034802646149,3.25950896915472
"338",2015-02-12,43,-1.5,-0.34,3.33,354.170182760919,3.34731235471087
"339",2015-02-12,43,-1,-0.35,2.6499999,352.476179280696,2.67301318178568
"340",2015-02-12,43,-0.5,-0.41,2.22,349.53625122208,2.25754291210599
"597",2015-02-12,43,0,-0.14999999,1.13,352.438572070596,1.13991227601075
"598",2015-02-12,43,0.5,0.32999998,1.62,11.5138305053141,1.65326948402249
"599",2015-02-12,43,1,0.39,1.74,12.633361935275,1.78317133220563
"600",2015-02-12,43,1.5,0.28,1.8199999,8.74616273568306,1.84141240247806
"601",2015-02-12,43,2,-0.25,1.63,351.280253493763,1.64906033849584
"602",2015-02-12,43,2.5,-0.03,-0.72999996,182.353296994911,0.730616138338048
"603",2015-02-12,43,3,-0.66999996,-0.45,236.113038952706,0.807093517753675
"604",2015-02-12,43,3.5,-2.7,3.9399998,325.577969111371,4.77635828053131
"605",2015-02-12,43,4,-2.31,1.9,309.437666605611,2.99100317619357
"606",2015-02-12,43,4.5,-0.98999995,-0.11,263.659807936486,0.996092315500929
"607",2015-02-12,43,5,-1.68,0.61,289.955718484066,1.78731642413983
"301",2015-02-12,42.5,-10,-1.13,7.45,351.375239167084,7.53521068053177
"302",2015-02-12,42.5,-9.5,-4.29,4.94,319.028263666485,6.54275935672404
"303",2015-02-12,42.5,-9,-2.1,0.88,292.736004882581,2.27692775467295
"304",2015-02-12,42.5,-8.5,-0.76,0.34,294.102234501161,0.832586331859946
"305",2015-02-12,42.5,-8,-0.98999995,0.74,306.777187497095,1.23600157807343
"306",2015-02-12,42.5,-7.5,-1.3,0.82,302.242467839123,1.53701008454727
"307",2015-02-12,42.5,-7,-1.11,0.96999997,311.149360298064,1.47410988118254
"308",2015-02-12,42.5,-6.5,-0.72999996,0.77,316.527527009729,1.06103720085584
"309",2015-02-12,42.5,-6,-0.35999998,-0.77,205.05761419705,0.849999991529412
"310",2015-02-12,42.5,-5.5,-1.28,-1.88,214.249033006812,2.27437903613272
"311",2015-02-12,42.5,-5,-1.7099999,-1.7099999,225,2.41830505023664
"312",2015-02-12,42.5,-4.5,-0.98999995,-0.29,253.673145708765,1.03160064996102
"313",2015-02-12,42.5,-4,-0.53999996,1.1999999,335.772254483516,1.31590262436094
"314",2015-02-12,42.5,-3.5,-0.17999999,1.35,352.405357048408,1.3619471342163
"315",2015-02-12,42.5,-3,-0.9,0.84,313.025065989118,1.23109707172099
"316",2015-02-12,42.5,-2.5,-2.25,0.31,277.84469609953,2.27125515959788
"317",2015-02-12,42.5,-2,-1.73,-0.22999999,262.427051684894,1.74522204759165
"318",2015-02-12,42.5,-1.5,-2.19,0.19,274.958450919485,2.19822655793255
"319",2015-02-12,42.5,-1,-2.8899999,-0.34,263.290162962186,2.90993117135097
"320",2015-02-12,42.5,-0.5,-1.8199999,-0.77,247.067898432721,1.97618309779231
"586",2015-02-12,42.5,0,-0.65,-0.51,231.881723630637,0.826196102629394
"587",2015-02-12,42.5,0.5,-0.48999998,0.48,314.409343954406,0.685930011298529
"588",2015-02-12,42.5,1,-0.52,0.81,327.300538878998,0.962548700066651
"589",2015-02-12,42.5,1.5,-0.06,1.38,357.510447078001,1.38130373198656
"590",2015-02-12,42.5,2,1.39,2.1699998,32.6417173391506,2.57701360725939
"591",2015-02-12,42.5,2.5,2.34,1.4399999,58.392499529729,2.74758070163553
"592",2015-02-12,42.5,3,0.81,1.76,24.7131768804659,1.93744677346243
"593",2015-02-12,42.5,3.5,-0.19,5.31,357.950742798852,5.31339815937033
"594",2015-02-12,42.5,4,-1.1899999,2.75,336.600550435638,2.99643117090982
"595",2015-02-12,42.5,4.5,-1.5699999,0.82,297.577751388038,1.77124241311008
"596",2015-02-12,42.5,5,-2.77,-0.099999994,267.932458319324,2.77180446619165
"281",2015-02-12,42,-10,0.14,7.19,1.11549313209491,7.19136287500499
"282",2015-02-12,42,-9.5,-3.02,5.1,329.367812564674,5.92709034856058
"283",2015-02-12,42,-9,-2.76,1.88,304.261102899095,3.33946103435869
"284",2015-02-12,42,-8.5,-0.74,0.51,304.574191474115,0.898721313867653
"285",2015-02-12,42,-8,-0.69,1.0699999,327.183654147117,1.27318489859094
"286",2015-02-12,42,-7.5,-1,0.91999996,312.614054728368,1.35882299303478
"287",2015-02-12,42,-7,-0.72999996,0.62,310.341747439365,0.957757767705385
"288",2015-02-12,42,-6.5,-0.89,0,270,0.89
"289",2015-02-12,42,-6,-0.37,-1.75,191.938150494505,1.78868666903961
"290",2015-02-12,42,-5.5,-0.76,-2.35,197.921428058034,2.46983805137098
"291",2015-02-12,42,-5,-1.11,-0.44,248.376803872095,1.19402680036924
"292",2015-02-12,42,-4.5,-1.54,1.51,314.436453129186,2.15678000732574
"293",2015-02-12,42,-4,-2.4199998,2.2,312.273691362975,3.27053497642206
"294",2015-02-12,42,-3.5,-2.83,1.38,295.995367597746,3.1485393438863
"295",2015-02-12,42,-3,-1.06,1.55,325.632908983879,1.87779125570442
"296",2015-02-12,42,-2.5,-0.08,1.99,357.697891707563,1.99160739102866
"297",2015-02-12,42,-2,-0.5,1.48,341.33308572578,1.56217796681428
"298",2015-02-12,42,-1.5,-1.5,1.26,310.03025927189,1.95897932607774
"299",2015-02-12,42,-1,-2.26,0.07,271.774080858818,2.261083810919
"300",2015-02-12,42,-0.5,-2.3899999,-1.43,239.106803680828,2.78513904895249
"575",2015-02-12,42,0,-1.4699999,-2.32,212.359191102325,2.7465068188519
"576",2015-02-12,42,0.5,-0.96,-1.42,214.060908816808,1.71405950888527
"577",2015-02-12,42,1,-1.01,-1.3299999,217.21298412026,1.67002986021209
"578",2015-02-12,42,1.5,-0.87,-0.87,225,1.23036579926459
"579",2015-02-12,42,2,0.07,-0.34,168.36636600106,0.347131099154196
"580",2015-02-12,42,2.5,0.96999997,0.17999999,79.4873730832091,0.986559647563188
"581",2015-02-12,42,3,0.58,1.27,24.5458440260296,1.39617334167359
"582",2015-02-12,42,3.5,0.53,3.1899998,9.43319428115376,3.23372830089357
"583",2015-02-12,42,4,-0.81,1.66,333.989854276632,1.84707877471428
"584",2015-02-12,42,4.5,-1.88,0.14,274.25884612217,1.88520555908368
"585",2015-02-12,42,5,-2.6499999,-0.42999998,260.783279831104,2.68466002555259
"261",2015-02-12,41.5,-10,-0.17999999,5.18,358.009827860721,5.18312646926544
